item_id,requirement_id,kind,name,fault_type,covered_obligations,missing_obligations,missing_obligation_names,coverage_rate,missing_high_severity_count,total,agreements,disagreements,agreement_rate,under_constrained_count,over_constrained_count,high_severity_under_constrained_count,first_counterexample,behavior_time,time_to_first_counterexample,checked_count,violation_count,violation_rate,first_violation,relation_breakdown,has_smt_counterexample,smt_counterexample,smt_time,metamorphic_consistency,high_severity_under_safe,smt_consistency,score,risk_level
R06-M3,R06,mutant,replace_and_with_or,replace_and_with_or,"['R06-O1', 'R06-O2', 'R06-O3', 'R06-O4']",[],[],1.0,0,2000,255,1745,0.1275,1745,0,1589,"{'user': {'role': 'external', 'clearance': 4, 'training_completed': False, 'approval_active': False, 'approval_expired': True, 'supervised_by_pi': True}, 'record': {'risk_level': 5, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': True, 'logged': False}}",0.017353100003674626,2.710000262595713e-05,2557,0,0.0,,"{'clearance_monotonicity': {'checked': 822, 'violations': 0}, 'risk_monotonicity': {'checked': 834, 'violations': 0}, 'expiration_safety': {'checked': 511, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 136, 'violations': 0}, 'emergency_logging_safety': {'checked': 254, 'violations': 0}}",True,"{'user': {'role': 'researcher', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.002072000002954155,1.0,0.0,0.0,48.1875,high
R10-M6,R10,mutant,drop_logging_or_expiration_if_present,drop_logging_or_expiration_if_present,"['R10-O2', 'R10-O3']","['R10-O1', 'R10-O4', 'R10-O5']","['low risk exception', 'approval valid', 'access logged']",0.4,0,2000,1678,322,0.839,322,0,100,"{'user': {'role': 'trainee', 'clearance': 0, 'training_completed': False, 'approval_active': True, 'approval_expired': True, 'supervised_by_pi': True}, 'record': {'risk_level': 0, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': True, 'logged': False}}",0.018459099999745376,2.7999994927085936e-05,2539,0,0.0,,"{'clearance_monotonicity': {'checked': 819, 'violations': 0}, 'risk_monotonicity': {'checked': 836, 'violations': 0}, 'expiration_safety': {'checked': 511, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 120, 'violations': 0}, 'emergency_logging_safety': {'checked': 253, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0021428000036394224,1.0,0.0,0.0,50.974999999999994,high
R06-C3,R06,candidate,omits emergency logging,missing_emergency_logging,"['R06-O1', 'R06-O4']","['R06-O2', 'R06-O3']","['access logged', 'approval not expired']",0.5,2,2000,1479,521,0.7395,521,0,521,"{'user': {'role': 'researcher', 'clearance': 3, 'training_completed': False, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': True}, 'record': {'risk_level': 1, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': True, 'logged': False}}",0.011929300002520904,3.989999822806567e-05,2557,0,0.0,,"{'clearance_monotonicity': {'checked': 822, 'violations': 0}, 'risk_monotonicity': {'checked': 834, 'violations': 0}, 'expiration_safety': {'checked': 511, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 136, 'violations': 0}, 'emergency_logging_safety': {'checked': 254, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': True, 'logged': False}}",0.001989199998206459,1.0,0.0,0.0,50.9875,high
R06-M6,R06,mutant,drop_logging_or_expiration_if_present,drop_logging_or_expiration_if_present,"['R06-O1', 'R06-O4']","['R06-O2', 'R06-O3']","['access logged', 'approval not expired']",0.5,2,2000,1479,521,0.7395,521,0,521,"{'user': {'role': 'researcher', 'clearance': 3, 'training_completed': False, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': True}, 'record': {'risk_level': 1, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': True, 'logged': False}}",0.012173600000096485,4.630000330507755e-05,2557,0,0.0,,"{'clearance_monotonicity': {'checked': 822, 'violations': 0}, 'risk_monotonicity': {'checked': 834, 'violations': 0}, 'expiration_safety': {'checked': 511, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 136, 'violations': 0}, 'emergency_logging_safety': {'checked': 254, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': True, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': True, 'logged': True}}",0.002064300002530217,1.0,0.0,0.0,50.9875,high
R02-C3,R02,candidate,over-permissive Boolean connective,wrong_boolean_connective,"['R02-O1', 'R02-O2', 'R02-O3']",[],[],1.0,0,2000,496,1504,0.248,1504,0,1135,"{'user': {'role': 'external', 'clearance': 0, 'training_completed': False, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': True}, 'record': {'risk_level': 0, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.01167729998996947,2.3599990527145565e-05,2550,0,0.0,,"{'clearance_monotonicity': {'checked': 828, 'violations': 0}, 'risk_monotonicity': {'checked': 836, 'violations': 0}, 'expiration_safety': {'checked': 490, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 140, 'violations': 0}, 'emergency_logging_safety': {'checked': 256, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0019297999970149249,1.0,0.0,0.0,51.2,high
R02-M3,R02,mutant,replace_and_with_or,replace_and_with_or,"['R02-O1', 'R02-O2', 'R02-O3']",[],[],1.0,0,2000,496,1504,0.248,1504,0,1135,"{'user': {'role': 'external', 'clearance': 0, 'training_completed': False, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': True}, 'record': {'risk_level': 0, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.01194019999820739,2.1500003640539944e-05,2550,0,0.0,,"{'clearance_monotonicity': {'checked': 828, 'violations': 0}, 'risk_monotonicity': {'checked': 836, 'violations': 0}, 'expiration_safety': {'checked': 490, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 140, 'violations': 0}, 'emergency_logging_safety': {'checked': 256, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0019890000112354755,1.0,0.0,0.0,51.2,high
R01-M3,R01,mutant,replace_and_with_or,replace_and_with_or,"['R01-O1', 'R01-O2', 'R01-O3']",[],[],1.0,0,2000,518,1482,0.259,1482,0,1163,"{'user': {'role': 'researcher', 'clearance': 2, 'training_completed': True, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': True}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': True}}",0.012239199990290217,3.060000017285347e-05,2538,0,0.0,,"{'clearance_monotonicity': {'checked': 833, 'violations': 0}, 'risk_monotonicity': {'checked': 825, 'violations': 0}, 'expiration_safety': {'checked': 503, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 134, 'violations': 0}, 'emergency_logging_safety': {'checked': 243, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 1, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.001960900000995025,1.0,0.0,0.0,51.475,high
R04-M6,R04,mutant,drop_logging_or_expiration_if_present,drop_logging_or_expiration_if_present,"['R04-O1', 'R04-O3']","['R04-O2', 'R04-O4']","['approval not expired', 'access logged']",0.5,1,2000,1549,451,0.7745,451,0,306,"{'user': {'role': 'external', 'clearance': 2, 'training_completed': False, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': True}, 'record': {'risk_level': 1, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.009107300007599406,3.460000152699649e-05,2532,0,0.0,,"{'clearance_monotonicity': {'checked': 858, 'violations': 0}, 'risk_monotonicity': {'checked': 826, 'violations': 0}, 'expiration_safety': {'checked': 469, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 154, 'violations': 0}, 'emergency_logging_safety': {'checked': 225, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': True, 'approval_expired': True, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': True}}",0.0020961000118404627,1.0,0.0,0.0,51.8625,high
R02-M4,R02,mutant,negate_boolean_condition,negate_boolean_condition,"['R02-O1', 'R02-O3']",['R02-O2'],['training completed'],0.6666666666666666,1,2000,1268,732,0.634,351,381,351,"{'user': {'role': 'trainee', 'clearance': 1, 'training_completed': True, 'approval_active': True, 'approval_expired': True, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': False}}",0.010501099997782148,3.0199997127056122e-05,2550,0,0.0,,"{'clearance_monotonicity': {'checked': 828, 'violations': 0}, 'risk_monotonicity': {'checked': 836, 'violations': 0}, 'expiration_safety': {'checked': 490, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 140, 'violations': 0}, 'emergency_logging_safety': {'checked': 256, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0020989999902667478,1.0,0.0,0.0,52.516666666666666,high
R03-M6,R03,mutant,drop_logging_or_expiration_if_present,drop_logging_or_expiration_if_present,"['R03-O1', 'R03-O4']","['R03-O2', 'R03-O3']","['approval not expired', 'access logged']",0.5,1,2000,1613,387,0.8065,387,0,258,"{'user': {'role': 'PI', 'clearance': 4, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': True, 'sensitive': True}, 'context': {'emergency': False, 'logged': False}}",0.008767299994360656,2.3500004317611456e-05,2553,0,0.0,,"{'clearance_monotonicity': {'checked': 829, 'violations': 0}, 'risk_monotonicity': {'checked': 816, 'violations': 0}, 'expiration_safety': {'checked': 500, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 134, 'violations': 0}, 'emergency_logging_safety': {'checked': 274, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': True, 'approval_active': True, 'approval_expired': True, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': True}}",0.00180460000410676,1.0,0.0,0.0,52.6625,high
R01-M4,R01,mutant,negate_boolean_condition,negate_boolean_condition,"['R01-O1', 'R01-O3']",['R01-O2'],['training completed'],0.6666666666666666,1,2000,1428,572,0.714,288,284,288,"{'user': {'role': 'external', 'clearance': 4, 'training_completed': True, 'approval_active': True, 'approval_expired': True, 'supervised_by_pi': True}, 'record': {'risk_level': 1, 'anonymized': True, 'sensitive': True}, 'context': {'emergency': False, 'logged': False}}",0.010083100001793355,2.440001117065549e-05,2538,0,0.0,,"{'clearance_monotonicity': {'checked': 833, 'violations': 0}, 'risk_monotonicity': {'checked': 825, 'violations': 0}, 'expiration_safety': {'checked': 503, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 134, 'violations': 0}, 'emergency_logging_safety': {'checked': 243, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0018800999969244003,1.0,0.0,0.0,54.516666666666666,high
R02-C2,R02,candidate,wrong comparator or polarity,wrong_comparator,"['R02-O2', 'R02-O3']",['R02-O1'],['external collaborators excluded'],0.6666666666666666,1,2000,1494,506,0.747,125,381,125,"{'user': {'role': 'trainee', 'clearance': 1, 'training_completed': True, 'approval_active': True, 'approval_expired': True, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': False}}",0.00925489999644924,2.7799993404187262e-05,2550,0,0.0,,"{'clearance_monotonicity': {'checked': 828, 'violations': 0}, 'risk_monotonicity': {'checked': 836, 'violations': 0}, 'expiration_safety': {'checked': 490, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 140, 'violations': 0}, 'emergency_logging_safety': {'checked': 256, 'violations': 0}}",True,"{'user': {'role': 'external', 'clearance': 0, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0019085000094491988,1.0,0.0,0.0,55.34166666666667,high
R02-M2,R02,mutant,flip_comparator,flip_comparator,"['R02-O2', 'R02-O3']",['R02-O1'],['external collaborators excluded'],0.6666666666666666,1,2000,1494,506,0.747,125,381,125,"{'user': {'role': 'trainee', 'clearance': 1, 'training_completed': True, 'approval_active': True, 'approval_expired': True, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': False}}",0.009013400005642325,2.6300011086277664e-05,2550,0,0.0,,"{'clearance_monotonicity': {'checked': 828, 'violations': 0}, 'risk_monotonicity': {'checked': 836, 'violations': 0}, 'expiration_safety': {'checked': 490, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 140, 'violations': 0}, 'emergency_logging_safety': {'checked': 256, 'violations': 0}}",True,"{'user': {'role': 'external', 'clearance': 0, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.001938100002007559,1.0,0.0,0.0,55.34166666666667,high
R01-C1,R01,candidate,missing key obligation,missing_obligation,"['R01-O2', 'R01-O3']",['R01-O1'],['clearance at least risk'],0.6666666666666666,1,2000,1813,187,0.9065,187,0,187,"{'user': {'role': 'researcher', 'clearance': 4, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 5, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': True, 'logged': True}}",0.009176799998385832,4.260000423528254e-05,2538,0,0.0,,"{'clearance_monotonicity': {'checked': 833, 'violations': 0}, 'risk_monotonicity': {'checked': 825, 'violations': 0}, 'expiration_safety': {'checked': 503, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 134, 'violations': 0}, 'emergency_logging_safety': {'checked': 243, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 1, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.04307800000242423,1.0,0.0,0.0,59.329166666666666,high
