id,requirement_id,name,prompt_mode,confidence,coverage_rate,missing_high_severity_count,agreement_rate,under_constrained_count,over_constrained_count,metamorphic_violation_rate,has_smt_counterexample,score,risk_level,missing_obligation_names,first_counterexample,smt_counterexample,explanation
R02-LLM-adversarial_review,R02,gemini_adversarial_review,adversarial_review,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Enforces that the user is not an external collaborator, has completed the required training, and has an active approval."
R03-LLM-direct_translation,R03,gemini_direct_translation,direct_translation,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Enforces that the user's approval is active, not expired, that the access is logged (auditable), and that the user has completed training."
R03-LLM-obligation_guided,R03,gemini_obligation_guided,obligation_guided,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Ensures that access is only granted if the user's approval is active (R03-O1), the approval is not expired (R03-O2), the session is logged for auditability (R03-O3), and the user has completed training (R03-O4)."
R03-LLM-adversarial_review,R03,gemini_adversarial_review,adversarial_review,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Enforces that access is only allowed when approval is active, approval is not expired, the session is logged (auditable), and the user has completed training."
R04-LLM-direct_translation,R04,gemini_direct_translation,direct_translation,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Ensures that access is only granted if the user's approval is active and not expired, their clearance level is greater than or equal to the record's risk level, and the access event is logged."
R04-LLM-obligation_guided,R04,gemini_obligation_guided,obligation_guided,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Ensures that user approval is active and not expired, the user's clearance level is greater than or equal to the record's risk level, and the access is logged."
R04-LLM-adversarial_review,R04,gemini_adversarial_review,adversarial_review,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Ensures that access is only authorized if the user's approval is active, not expired, their clearance level is at least equal to the record's risk level, and the access is being logged."
R06-LLM-direct_translation,R06,gemini_direct_translation,direct_translation,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Ensures emergency access is only granted when the emergency context is true, the access is logged, the user's approval is not expired, and the user is either a PI or has a clearance level greater than or equal to the record's risk level."
R06-LLM-obligation_guided,R06,gemini_obligation_guided,obligation_guided,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Ensures emergency access is only granted when context.emergency is true, the access is logged, the user's approval is not expired, and the user is either a PI or has sufficient clearance."
R06-LLM-adversarial_review,R06,gemini_adversarial_review,adversarial_review,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Ensures emergency access is only granted when context.emergency is true, the access is logged, user approval is not expired, and the user is either a PI or has clearance greater than or equal to the record's risk level."
